Pressure - Time: 0, Voltage: 0.52 V, Pressure: 2482.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.59 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 1241.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1861.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.54 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1861.6 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1447.9 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 1913.3 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.53 V, Pressure: 930.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 1344.5 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 2068.4 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 879.1 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.51 V, Pressure: 1292.8 Pa, Depth: 0.00 m
Pressure - Time: 0, Voltage: 0.52 V, Pressure: 930.8 Pa, Depth: 0.00 m
PID - Time: 26998, Error: 18013208694489229733920768.000, Moved: 282688174392675573694464.000 mL
